File Name,Model,Dataset,Accept Fn,Select Fn,Reverse Type,Final Accuracy,Final Loss,Total Iterations
greedy_gat_citeseer_constant_attacked_results.pkl,GAT,CITESEER,CONSTANT,NONE,ATTACKED,0.666,1.6751984357833862,3.054041183305713
greedy_gat_citeseer_constant_reversed_results.pkl,GAT,CITESEER,CONSTANT,NONE,REVERSED,0.666,1.6751984357833862,3.054041183305713
greedy_gat_citeseer_increasing_reversed_results.pkl,GAT,CITESEER,INCREASING,NONE,REVERSED,0.667,1.6765320301055908,3.4664676196280753
greedy_gat_cora_constant_attacked_results.pkl,GAT,CORA,CONSTANT,NONE,ATTACKED,0.767,0.9304847121238708,3.1260037809646377
greedy_gat_cora_constant_reversed_results.pkl,GAT,CORA,CONSTANT,NONE,REVERSED,0.767,0.9304847121238708,3.1260037809646377
greedy_gat_cora_increasing_reversed_results.pkl,GAT,CORA,INCREASING,NONE,REVERSED,0.769,0.9193692803382874,3.3434771599498
greedy_gcn_citeseer_constant_attacked_results.pkl,GCN,CITESEER,CONSTANT,NONE,ATTACKED,0.565,3.9905550479888916,3.567671808781582
greedy_gcn_citeseer_constant_reversed_results.pkl,GCN,CITESEER,CONSTANT,NONE,REVERSED,0.565,3.990950345993042,3.548127834840214
greedy_gcn_citeseer_increasing_reversed_results.pkl,GCN,CITESEER,INCREASING,NONE,REVERSED,0.569,3.9725184440612793,3.7491538667720645
greedy_gcn_cora_constant_attacked_results.pkl,GCN,CORA,CONSTANT,NONE,ATTACKED,0.768,1.9410419464111328,3.059995157021888
greedy_gcn_cora_constant_reversed_results.pkl,GCN,CORA,CONSTANT,NONE,REVERSED,0.768,1.9410419464111328,3.054944651971383
greedy_gcn_cora_increasing_reversed_results.pkl,GCN,CORA,INCREASING,NONE,REVERSED,0.765,1.9172043800354004,3.5249577263733753
greedy_gsage_citeseer_constant_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,NONE,ATTACKED,0.647,1.5057692527770996,3.033093423230481
greedy_gsage_citeseer_constant_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,NONE,REVERSED,0.647,1.50576913356781,3.033093423230481
greedy_gsage_citeseer_increasing_reversed_results.pkl,GSAGE,CITESEER,INCREASING,NONE,REVERSED,0.651,1.5090073347091675,3.2054545774801397
greedy_gsage_cora_constant_attacked_results.pkl,GSAGE,CORA,CONSTANT,NONE,ATTACKED,0.8,0.7098418474197388,3.1437740689251656
greedy_gsage_cora_constant_reversed_results.pkl,GSAGE,CORA,CONSTANT,NONE,REVERSED,0.8,0.7098419070243835,3.1437740689251656
greedy_gsage_cora_increasing_reversed_results.pkl,GSAGE,CORA,INCREASING,NONE,REVERSED,0.803,0.7116686105728149,3.3131993278831393
mcmc_gat_citeseer_constant_binary_attacked_results.pkl,GAT,CITESEER,CONSTANT,BINARY,ATTACKED,0.65,1.71071457862854,5.083233686276394
mcmc_gat_citeseer_constant_binary_reversed_results.pkl,GAT,CITESEER,CONSTANT,BINARY,REVERSED,0.663,1.693278431892395,4.993518497928911
mcmc_gat_citeseer_constant_decaying_attacked_results.pkl,GAT,CITESEER,CONSTANT,DECAYING,ATTACKED,0.647,1.7394263744354248,13.67093389596361
mcmc_gat_citeseer_constant_decaying_reversed_results.pkl,GAT,CITESEER,CONSTANT,DECAYING,REVERSED,0.669,1.7028305530548096,14.583505349538603
mcmc_gat_citeseer_increasing_attacked_results.pkl,GAT,CITESEER,INCREASING,NONE,ATTACKED,0.667,1.6765320301055908,3.4664676196280753
mcmc_gat_citeseer_increasing_binary_attacked_results.pkl,GAT,CITESEER,INCREASING,BINARY,ATTACKED,0.654,1.7284984588623047,5.157656667848643
mcmc_gat_citeseer_increasing_binary_reversed_results.pkl,GAT,CITESEER,INCREASING,BINARY,REVERSED,0.662,1.688991904258728,5.270736411078442
mcmc_gat_citeseer_increasing_decaying_attacked_results.pkl,GAT,CITESEER,CONSTANT,DECAYING,ATTACKED,0.666,1.7045162916183472,9.65905268306625
mcmc_gat_citeseer_increasing_decaying_reversed_results.pkl,GAT,CITESEER,CONSTANT,DECAYING,REVERSED,0.675,1.6971017122268677,9.464345561726859
mcmc_gat_cora_constant_binary_attacked_results.pkl,GAT,CORA,CONSTANT,BINARY,ATTACKED,0.767,0.9381440281867981,6.396779317123697
mcmc_gat_cora_constant_binary_reversed_results.pkl,GAT,CORA,CONSTANT,BINARY,REVERSED,0.765,0.9218007922172546,6.504031615387231
mcmc_gat_cora_constant_decaying_attacked_results.pkl,GAT,CORA,CONSTANT,DECAYING,ATTACKED,0.763,0.9615689516067505,75.31026783062032
mcmc_gat_cora_constant_decaying_reversed_results.pkl,GAT,CORA,CONSTANT,DECAYING,REVERSED,0.765,0.930574357509613,86.92802185240225
mcmc_gat_cora_increasing_attacked_results.pkl,GAT,CORA,INCREASING,NONE,ATTACKED,0.769,0.9193692803382874,3.3434771599498
mcmc_gat_cora_increasing_binary_attacked_results.pkl,GAT,CORA,INCREASING,BINARY,ATTACKED,0.758,0.9667332768440247,6.65851759799758
mcmc_gat_cora_increasing_binary_reversed_results.pkl,GAT,CORA,INCREASING,BINARY,REVERSED,0.765,0.9209221005439758,6.651612973936828
mcmc_gat_cora_increasing_decaying_attacked_results.pkl,GAT,CORA,CONSTANT,DECAYING,ATTACKED,0.767,0.9343132376670837,33.485209659569776
mcmc_gat_cora_increasing_decaying_reversed_results.pkl,GAT,CORA,CONSTANT,DECAYING,REVERSED,0.769,0.9343158602714539,31.117384652512225
mcmc_gcn_citeseer_constant_binary_attacked_results.pkl,GCN,CITESEER,CONSTANT,BINARY,ATTACKED,0.566,3.9606809616088867,5.80041059130456
mcmc_gcn_citeseer_constant_binary_reversed_results.pkl,GCN,CITESEER,CONSTANT,BINARY,REVERSED,0.562,4.006194591522217,5.671083097555764
mcmc_gcn_citeseer_constant_decaying_attacked_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,ATTACKED,0.569,3.984473705291748,37.79724356434633
mcmc_gcn_citeseer_constant_decaying_reversed_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,REVERSED,0.568,4.047685623168945,33.07700818608244
mcmc_gcn_citeseer_increasing_attacked_results.pkl,GCN,CITESEER,INCREASING,NONE,ATTACKED,0.569,3.9725184440612793,3.736601565516834
mcmc_gcn_citeseer_increasing_binary_attacked_results.pkl,GCN,CITESEER,INCREASING,BINARY,ATTACKED,0.566,3.9900522232055664,5.652465895042578
mcmc_gcn_citeseer_increasing_binary_reversed_results.pkl,GCN,CITESEER,INCREASING,BINARY,REVERSED,0.562,3.990981101989746,5.52480201498663
mcmc_gcn_citeseer_increasing_decaying_attacked_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,ATTACKED,0.568,3.963236093521118,15.603321983013494
mcmc_gcn_citeseer_increasing_decaying_reversed_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,REVERSED,0.565,4.022278785705566,14.636699144314523
mcmc_gcn_cora_constant_binary_attacked_results.pkl,GCN,CORA,CONSTANT,BINARY,ATTACKED,0.754,1.9361209869384766,4.435935122940761
mcmc_gcn_cora_constant_binary_reversed_results.pkl,GCN,CORA,CONSTANT,BINARY,REVERSED,0.758,1.947450041770935,4.47011028223254
mcmc_gcn_cora_constant_decaying_attacked_results.pkl,GCN,CORA,CONSTANT,DECAYING,ATTACKED,0.747,1.9509199857711792,33.653120258685504
mcmc_gcn_cora_constant_decaying_reversed_results.pkl,GCN,CORA,CONSTANT,DECAYING,REVERSED,0.756,1.9756289720535278,29.875075543493182
mcmc_gcn_cora_increasing_attacked_results.pkl,GCN,CORA,INCREASING,NONE,ATTACKED,0.765,1.9172043800354004,3.535788051283123
mcmc_gcn_cora_increasing_binary_attacked_results.pkl,GCN,CORA,INCREASING,BINARY,ATTACKED,0.749,1.9305036067962646,5.038776705521118
mcmc_gcn_cora_increasing_binary_reversed_results.pkl,GCN,CORA,INCREASING,BINARY,REVERSED,0.756,1.9420472383499146,5.148694383087763
mcmc_gcn_cora_increasing_decaying_attacked_results.pkl,GCN,CORA,CONSTANT,DECAYING,ATTACKED,0.748,1.9225198030471802,17.38207860456674
mcmc_gcn_cora_increasing_decaying_reversed_results.pkl,GCN,CORA,CONSTANT,DECAYING,REVERSED,0.756,1.9491983652114868,16.705769720078322
mcmc_gsage_citeseer_constant_binary_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,BINARY,ATTACKED,0.65,1.5067496299743652,10.821574821211142
mcmc_gsage_citeseer_constant_binary_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,BINARY,REVERSED,0.648,1.5099272727966309,10.840641780446829
mcmc_gsage_citeseer_constant_decaying_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,ATTACKED,0.649,1.5199079513549805,34.79339795706995
mcmc_gsage_citeseer_constant_decaying_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,REVERSED,0.652,1.5101430416107178,33.95057466124982
mcmc_gsage_citeseer_increasing_attacked_results.pkl,GSAGE,CITESEER,INCREASING,NONE,ATTACKED,0.651,1.5090073347091675,3.2054545774801397
mcmc_gsage_citeseer_increasing_binary_attacked_results.pkl,GSAGE,CITESEER,INCREASING,BINARY,ATTACKED,0.646,1.507996678352356,5.222624715833533
mcmc_gsage_citeseer_increasing_binary_reversed_results.pkl,GSAGE,CITESEER,INCREASING,BINARY,REVERSED,0.652,1.50974702835083,5.23753483263399
mcmc_gsage_citeseer_increasing_decaying_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,ATTACKED,0.654,1.4923158884048462,9.38642550843511
mcmc_gsage_citeseer_increasing_decaying_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,REVERSED,0.655,1.5099923610687256,9.471820306448276
mcmc_gsage_cora_constant_binary_attacked_results.pkl,GSAGE,CORA,CONSTANT,BINARY,ATTACKED,0.799,0.7164329290390015,5.426630520513618
mcmc_gsage_cora_constant_binary_reversed_results.pkl,GSAGE,CORA,CONSTANT,BINARY,REVERSED,0.798,0.7156882286071777,5.422219292671165
mcmc_gsage_cora_constant_decaying_attacked_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,ATTACKED,0.801,0.7195205688476562,42.16910054997712
mcmc_gsage_cora_constant_decaying_reversed_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,REVERSED,0.8,0.7196121215820312,42.769838899275484
mcmc_gsage_cora_increasing_attacked_results.pkl,GSAGE,CORA,INCREASING,NONE,ATTACKED,0.803,0.7116686105728149,3.3131993278831393
mcmc_gsage_cora_increasing_binary_attacked_results.pkl,GSAGE,CORA,INCREASING,BINARY,ATTACKED,0.797,0.7198467254638672,5.4096581767047835
mcmc_gsage_cora_increasing_binary_reversed_results.pkl,GSAGE,CORA,INCREASING,BINARY,REVERSED,0.8,0.7154499292373657,5.601009896146391
mcmc_gsage_cora_increasing_decaying_attacked_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,ATTACKED,0.798,0.7284237146377563,11.655595831761005
mcmc_gsage_cora_increasing_decaying_reversed_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,REVERSED,0.804,0.719426155090332,11.671440195980821
